,Source,Target
192, Bracket Capital,Thirty Madison
192, Northzone,Thirty Madison
192, Imaginary Ventures,Thirty Madison
193,Delivery Hero,tabby
193, Mubadala,tabby
193, VentureSouq,tabby
193, Global Founders Capital,tabby
193, HOF Capital,tabby
194,Silver Lake,Talend
194, Bpifrance,Talend
194, Balderton Capital,Talend
194, Sumeru Equity Partners,Talend
194, Idinvest Partners,Talend
195,Imaginary Ventures,Skims
195, Khaira Capital,Skims
195, D1 Capital Partners,Skims
195, Thrive Capital,Skims
195, Lone Pine Capital,Skims
196,Spark Capital,SmartRent
196, Fifth Wall,SmartRent
196, UDR,SmartRent
196, Energy Impact Partners,SmartRent
196, Bain Capital Ventures,SmartRent
197,AirTree Ventures,Zepto
197, Decade Partners,Zepto
198,General Catalyst,SWORD Health
198, mymobiles price,SWORD Health
198, Founders Fund,SWORD Health
198, Bond,SWORD Health
198, Khosla Ventures,SWORD Health
199,Stripes,Spectro Cloud
199, Sierra Ventures,Spectro Cloud
199, WestWave Capital,Spectro Cloud
199, T-Mobile Ventures,Spectro Cloud
199, Boldstart Ventures,Spectro Cloud
200,Sequoia Capital,Skiff
200, SV Angel,Skiff
200, Kevin Hartz,Skiff
200, Jerry Yang,Skiff
200, Charlie Songhurst,Skiff
201,Andreessen Horowitz,Trunk
201, Garage Capital,Trunk
201, Initialized Capital,Trunk
201, Haystack,Trunk
201, David Mytton,Trunk
202,Techstars,Veho
202, General Catalyst,Veho
202, Tiger Global Management,Veho
202, SoftBank Vision Fund,Veho
202, MANTIS Venture Capital,Veho
203,B Capital Group,Zipmex
203, Jump Capital,Zipmex
203, MindWorks Capital,Zipmex
203, TNB AURA,Zipmex
203, Plan B Media,Zipmex
204,Silver Lake,Zynga
204, Google,Zynga
204, Andreessen Horowitz,Zynga
204, Morgan Stanley,Zynga
204, Union Square Ventures,Zynga
205,Gaingels,Unstoppable Domains
205, Draper Associates,Unstoppable Domains
205, Protocol Labs,Unstoppable Domains
205, Coinbase Ventures,Unstoppable Domains
205, Naval Ravikant,Unstoppable Domains
206,Y Combinator,ZeroStorefront
206, Ulu Ventures,ZeroStorefront
206, Ying Fund,ZeroStorefront
207,JP Morgan,Wheel
207, Tiger Global Management,Wheel
207, Coatue,Wheel
207, Lightspeed Venture Partners,Wheel
207, Tusk Venture Partners,Wheel
208,Insight Partners,Smartsheet
208, Summit Partners,Smartsheet
208, Top Tier Capital Partners,Smartsheet
208, Madrona Venture Group,Smartsheet
208, Sutter Hill Ventures,Smartsheet
209,GV,SpinLaunch
209, Alphabet,SpinLaunch
209, Bolt,SpinLaunch
209, Kleiner Perkins,SpinLaunch
209, Neotribe Ventures,SpinLaunch
210,SoftBank,Solarisbank
210, finleap,Solarisbank
210, Visa,Solarisbank
210, Banco Bilbao Vizcaya Argentaria,Solarisbank
210, Vulcan Capital,Solarisbank
211,Juniper Networks,Vectra
211, Matrix Partners,Vectra
211, Accel,Vectra
211, Khosla Ventures,Vectra
211, IA Ventures,Vectra
212,8VC,Yugabyte
212, Lightspeed Venture Partners,Yugabyte
212, Dell Technologies Capital,Yugabyte
212, Alkeon Capital,Yugabyte
212, Greenspring Associates,Yugabyte
213,Eldridge,Viral Nation
213, Maverix Private Equity,Viral Nation
214,Schneider Electric,Sense
214, Bolt,Sense
214, Energy Impact Partners,Sense
214, Shell Ventures,Sense
214, iRobot,Sense
215,Northern Arc,UpScalio
215, OfBusiness,UpScalio
215, 468 Capital,UpScalio
215, Kingsway Capital,UpScalio
215, Heliad Equity Partners,UpScalio
216,National Science Foundation,Turntide Technologies
216, Fifth Wall,Turntide Technologies
216, FootPrint Coalition,Turntide Technologies
216, Breakthrough Energy Ventures,Turntide Technologies
216, BMW i Ventures,Turntide Technologies
217,Francisco Partners,SmartBear
217, Insight Partners,SmartBear
217, Vista Equity Partners,SmartBear
218,Quona Capital,Yoco
218, Musha Ventures,Yoco
218, HOF Capital,Yoco
218, Breyer Capital,Yoco
218, 4DX Ventures,Yoco
219,500 Startups,Thrive Agric
219, Y Combinator,Thrive Agric
219, Ventures Platform,Thrive Agric
219, West Africa Trade Hub,Thrive Agric
220,Alumni Ventures,what3words
220, Crowdcube,what3words
220, Daimler,what3words
220, VentureSouq,what3words
220, Aramex International,what3words
221,SoftBank Vision Fund,Yanolja
221, GIC,Yanolja
221, Booking Holdings,Yanolja
221, Sky Lake Investment,Yanolja
221, Partners Investment,Yanolja
222,Flipkart,Shadowfax
222, Mirae Asset Global Investments,Shadowfax
222, Qualcomm Ventures,Shadowfax
222, International Finance Corporation,Shadowfax
222, Eight Roads Ventures,Shadowfax
223,Tencent,Voodoo
223, Goldman Sachs,Voodoo
223, Tikehau Capital,Voodoo
223, SAIF Partners,Voodoo
223, GS Growth,Voodoo
224,Goldman Sachs,Unqork
224, Broadridge,Unqork
224, BlackRock,Unqork
224, HOF Capital,Unqork
224, Fin Venture Capital,Unqork
225,UST,Trulioo
225, Goldman Sachs,Trulioo
225, Plug and Play Tech Center,Trulioo
225, TCV,Trulioo
225, Blumberg Capital,Trulioo
226,Benchmark,Zillow
226, TCV,Zillow
226, Legg Mason,Zillow
226, PAR Capital Management,Zillow
227,Lighter Capital,Stylitics
227, PSG,Stylitics
227, PeakSpan Capital,Stylitics
227, HDS Capital,Stylitics
227, Trestle Partners,Stylitics
228,Sequoia Capital,Snowflake
228, Redpoint,Snowflake
228, Wing Venture Capital,Snowflake
228, Human Capital,Snowflake
228, Capital One,Snowflake
229,Partech,Weglot
229, SIDE Capital,Weglot
230,JP Morgan,Saphyre
230, BNP Paribas,Saphyre
230, HCAP Partners,Saphyre
231,Anthemis Group,Skuad
231, Alto Partners Multi-Family Office,Skuad
231, BEENEXT,Skuad
231, Mindlance,Skuad
231, Rohan Monga,Skuad
232,Tiger Global Management,Upstox
232, Kalaari Capital,Upstox
232, GVK Davix Technologies,Upstox
233,IIFL Wealth Management,Toothsi
233, Eight Roads Ventures,Toothsi
233, Ramakant Sharma,Toothsi
233, Think Investments,Toothsi
233, Stride Ventures,Toothsi
234,Franklin Templeton Investments,Simpl
234, FJ Labs,Simpl
234, IA Ventures,Simpl
234, Valar Ventures,Simpl
234, Green Visor Capital,Simpl
235,Insight Partners,Snappt
235, Moderne Ventures,Snappt
235, Dreamit Ventures,Snappt
235, Inertia Ventures,Snappt
235, K50 Ventures,Snappt
236,Insight Partners,WalkMe
236, Vitruvian Partners,WalkMe
236, Scale Venture Partners,WalkMe
236, EDBI,WalkMe
236, Greenspring Associates,WalkMe
237,Anthemis Group,Sydecar
237, Hustle Fund,Sydecar
237, Deciens Capital,Sydecar
237, Jonathan Weiner,Sydecar
237, Pipeline Capital,Sydecar
238,Techstars,TradeLanes
238, S2G Ventures,TradeLanes
238, Bread and Butter Ventures (fka The Syndicate Fund),TradeLanes
238, Closed Loop Partners,TradeLanes
238, Innova Memphis,TradeLanes
239,Fifth Wall,Veev
239, Bond,Veev
239, Khosla Ventures,Veev
239, Western Technology Investment,Veev
239, Zeev Ventures,Veev
240,GV,SambaNova Systems
240, BlackRock,SambaNova Systems
240, SoftBank Vision Fund,SambaNova Systems
240, Temasek Holdings,SambaNova Systems
240, GIC,SambaNova Systems
241,IDG Capital,Shein
241, Tiger Global Management,Shein
241, Sequoia Capital China,Shein
241, General Atlantic,Shein
241, JAFCO Asia,Shein
242,Global Founders Capital,Shares
242, Valar Ventures,Shares
242, Red Sea Ventures,Shares
242, Singular,Shares
242, Chris Adelsbach,Shares
243,Stripe,Stellar Development Foundation
244,Azure Capital Partners,Selector
244, Atlantic Bridge,Selector
244, SineWave Ventures,Selector
244, Two Bear Capital,Selector
244, Comcast Ventures,Selector
245,Barclays Investment Bank,Telefonica
245, BBVA Ventures,Telefonica
246,K1 Investment Management,TokenEx
247,Vic,Telstra
248,Animoca Brands,Yield Guild Games
248, Andreessen Horowitz,Yield Guild Games
248, BlockTower Capital,Yield Guild Games
248, BITKRAFT Ventures,Yield Guild Games
248, Infinity Ventures Crypto,Yield Guild Games
249,Silver Lake,Zuora
249, Greylock,Zuora
249, Redpoint,Zuora
249, BlackRock,Zuora
249, Index Ventures,Zuora
250,Citi,Xerox
250, JP Morgan Chase,Xerox
250, Goldman Sachs,Xerox
250, Credit Suisse,Xerox
250, Merrill Lynch,Xerox
251,Anthemis Group,Seedcamp
251, Venrex,Seedcamp
251, Balderton Capital,Seedcamp
251, LocalGlobe,Seedcamp
251, DN Capital,Seedcamp
253,Lightrock,Vivriti Capital
253, Creation Investments Capital Management,Vivriti Capital
253, LLC,Vivriti Capital
253, Aspada,Vivriti Capital
256,Antler,Volopay
256, Y Combinator,Volopay
256, VentureSouq,Volopay
256, Winklevoss Capital,Volopay
256, Access Ventures,Volopay
258,Nokia,Team8
258, Accenture,Team8
258, Microsoft,Team8
258, AT&T,Team8
258, Qualcomm,Team8
260,Wind Turbine & Energy Cables,Santander Bank
263,Idinvest Partners,Schneider Electric
263, California State Water Resources Control Board,Schneider Electric
266,Tencent Music Entertainment,Warner Music Group
267,Caisse de Depot et Placement du Quebec,Sedgwick Claims Management Services
267, Canada Pension Plan Investment Board,Sedgwick Claims Management Services
268,JP Morgan Chase,The Boeing Company
268, Citibank,The Boeing Company
268, Merrill Lynch,The Boeing Company
268, Pierce,The Boeing Company
268, Fenner & Smith,The Boeing Company
268, Inc.,The Boeing Company
270,Third Prime,SeedInvest
270, Great Oaks Venture Capital,SeedInvest
270, Scout Ventures,SeedInvest
270, Krillion Ventures,SeedInvest
270, Archangel,SeedInvest
271,General Catalyst,Singular
271, Norwest Venture Partners,Singular
271, Thomvest Ventures,Singular
271, Telstra Ventures,Singular
271, DCM Ventures,Singular
277,Coil,Uphold
277, Hard Yaka,Uphold
277, Venovate,Uphold
277, Rosemoor Capital Management LLC,Uphold
278,SoftBank,SoFi
278, Silver Lake,SoFi
278, Morgan Stanley,SoFi
278, QED Investors,SoFi
278, Founders Fund,SoFi
279,Spark Capital,Scale AI
279, Y Combinator,Scale AI
279, Tiger Global Management,Scale AI
279, Accel,Scale AI
279, Coatue,Scale AI
280,SoftBank,WME
280, Silver Lake,WME
280, Canada Pension Plan Investment Board,WME
282,Andreessen Horowitz,Slack
282, Spark Capital,Slack
282, FundersClub,Slack
282, GV,Slack
282, Initialized Capital,Slack
283,Silver Lake,TAL Education Group
285,Warburg Pincus,WuXi AppTec
285, NewSpring,WuXi AppTec
285, Eight Roads Ventures,WuXi AppTec
285, Ping An Bank,WuXi AppTec
285, Commerce Health Capital,WuXi AppTec
286,Accel,trica
286, Kunal Shah,trica
286, LC Nueva AIF,trica
286, Anupam Mittal,trica
286, Secocha Ventures,trica
289,Wavemaker Partners,Science
289, White Star Capital,Science
289, Hearst Ventures,Science
289, Silver Lake Waterman,Science
289, TomorrowVentures,Science
291,Lightspeed Venture Partners,Wintermute Trading
291, Hack VC,Wintermute Trading
291, Kenetic,Wintermute Trading
291, Pantera Capital,Wintermute Trading
291, FBG Capital,Wintermute Trading
293,Tech Coast Angels,Tech Coast Angels
296,US Department of Energy,Siemens
298,Cisco,Startupbootcamp
298, GoBeyond,Startupbootcamp
298, LVenture Group,Startupbootcamp
298, Penny Schiffer,Startupbootcamp
300,TNB Financial Services,Visa
302,2TM,TC - TradersClub
302, Alexandre Sabanai,TC - TradersClub
302, Diogo Roberte,TC - TradersClub
302, Edison Ticle,TC - TradersClub
303,Sequoia Capital,Yahoo
303, Visa,Yahoo
303, SoftBank Capital,Yahoo
303, Randy Adams,Yahoo
303, Reuters Venture Capital,Yahoo
304,Relay Ventures,Sherpa
304, Plug and Play Tech Center,Sherpa
304, Golden Ventures,Sherpa
304, Bossa Nova Investimentos,Sherpa
304, True Ventures,Sherpa
306,Spark Capital,Sonder
306, Greylock,Sonder
306, Fidelity,Sonder
306, BlackRock,Sonder
306, Valor Equity Partners,Sonder
307,500 Startups,The Family
307, Headline,The Family
307, Index Ventures,The Family
307, Hummingbird Ventures,The Family
307, White Star Capital,The Family
308,Silver Lake,Splunk
308, Hellman & Friedman,Splunk
308, TCV,Splunk
308, August Capital,Splunk
308, Ignition Partners,Splunk
309,Faber,Seedrs
309, Augmentum Capital,Seedrs
309, Woodford Investment Management,Seedrs
309, Christian Faes,Seedrs
309, Reece Chowdhry,Seedrs
313,Sequoia Capital,ServiceNow
313, Greylock,ServiceNow
313, JMI Equity,ServiceNow
318,Goldman Sachs Asset Management,TriplePoint Venture Growth
321,European Bank for Reconstruction and Development,Zabka Polska
323,Tencent,Yintai Group
323, JD.com,Yintai Group
323, Baidu,Yintai Group
325,Zomato,Shiprocket
325, Gaingels,Shiprocket
325, 500 Startups,Shiprocket
325, Tribe Capital,Shiprocket
325, Razorpay,Shiprocket
327,AlpInvest Partners,Stagwell Group
328,HSBC,Saudi Arabia's Public Investment Fund
328, JP Morgan Chase,Saudi Arabia's Public Investment Fund
328, Goldman Sachs,Saudi Arabia's Public Investment Fund
336,Antares Capital,Vestar Capital Partners
336, HarbourVest Partners,Vestar Capital Partners
338,Spotify,Tencent Music Entertainment
338, Hermitage Capital,Tencent Music Entertainment
338, Balyasny Asset Management,Tencent Music Entertainment
340,Morgan Stanley,Workday
340, Greylock,Workday
340, Kalaari Capital,Workday
340, T. Rowe Price,Workday
340, New Enterprise Associates,Workday
341,Groupon,StartX (Stanford-StartX Fund)
341, AT&T,StartX (Stanford-StartX Fund)
341, Cisco,StartX (Stanford-StartX Fund)
341, Founders Fund,StartX (Stanford-StartX Fund)
341, Stanford University,StartX (Stanford-StartX Fund)
343,Warburg Pincus,United Internet Ventures
344,NextView Ventures,Strive
344, Graph Ventures,Strive
344, Kapor Capital,Strive
344, Upfront Ventures,Strive
344, Webb Investment Network,Strive
347,Hashed,Unbound Finance
347, LedgerPrime,Unbound Finance
347, Arrington XRP Capital,Unbound Finance
347, LD Capital,Unbound Finance
347, Sandeep Nailwal,Unbound Finance
359,Accretion Capital,Soma Capital
361,Aphria,Sol Global investments
363,Cisco,Stellaris Venture Partners
364,Insight Partners,Vela
365,Accenture,Youth Business International
376,Banvest,Wamda Capital
378,Innovation Network Corporation of Japan,Universal Materials Incubator
398,Wipro Ventures,TLV Partners
411,Dyal Capital Partners,Sixth Street
432,Morgan Stanley,Tikehau Capital
467,Carlos Slim,The New York Times
483,Y Combinator,Trestle
531,9+ Program,Venovate
544,Venrock,Intel
544, Arthur Rock & Co,Intel
544, Max Palevsky,Intel
545,Apple,Ramp
545, Citi,Ramp
545, Stripe,Ramp
545, Flexport,Ramp
545, Spark Capital,Ramp
546,Fidelity Management and Research Company,Nykaa
546, Steadview Capital,Nykaa
546, Lighthouse Funds,Nykaa
546, TPG Growth,Nykaa
546, Max Ventures and Industries,Nykaa
547,Apollo,Liquidity
547, Spark Capital,Liquidity
547, MUFG Bank,Liquidity
547, MUFG Innovation Partners,Liquidity
548,Eric Eisner,MoonPay
548, Revels Group Ventures,MoonPay
548, Gibson Hazard,MoonPay
548, Brie Larson,MoonPay
548, Vivie-ann Bakos,MoonPay
549,Seedcamp,Grover
549, Global Founders Capital,Grover
549, Augmentum Fintech,Grover
549, LG Group,Grover
549, Energy Impact Partners,Grover
550,Tencent,Lyft
550, Andreessen Horowitz,Lyft
550, Rakuten,Lyft
550, Alibaba Group,Lyft
550, M13,Lyft
551,Berkshire Hathaway,HP
552,Animoca Brands,Polygon
552, Digital Currency Group,Polygon
552, Galaxy Digital,Polygon
552, Celsius Network,Polygon
552, Voodoo,Polygon
553,Microsoft,Meta
553, Greylock,Meta
553, Tiger Global Management,Meta
553, Accel,Meta
553, Founders Fund,Meta
554,Sequoia Capital,NVIDIA
554, SoftBank Vision Fund,NVIDIA
554, TriplePoint Capital,NVIDIA
554, DARPA,NVIDIA
554, Jean Abrial,NVIDIA
555,Morgan Stanley,NYDIG
555, Affirm,NYDIG
555, Bessemer Venture Partners,NYDIG
555, MassMutual,NYDIG
555, Ribbit Capital,NYDIG
556,Goldman Sachs,Pensando
556, Qualcomm Ventures,Pensando
556, Lightspeed Venture Partners,Pensando
556, Hewlett Packard Enterprise,Pensando
557,Swiggy,Rapido
557, Nexus Venture Partners,Rapido
557, Shunwei Capital,Rapido
557, Kunal Shah,Rapido
557, Shell Ventures,Rapido
558,TPG,Lenovo
558, General Atlantic,Lenovo
558, Legend Holdings,Lenovo
558, Chinese Academy Of Sciences,Lenovo
558, The Parent Company,Lenovo
559,Flipkart,Pine Labs
559, Invesco,Pine Labs
559, Mastercard,Pine Labs
559, BlackRock,Pine Labs
559, Temasek Holdings,Pine Labs
560,Tiger Global Management,GupShup
560, Fidelity Management and Research Company,GupShup
560, Shane Neman,GupShup
560, CRV,GupShup
560, Think Investments,GupShup
561,Alumni Ventures,GrubMarket
561, Trinity Capital,GrubMarket
561, Gaingels,GrubMarket
561, Y Combinator,GrubMarket
561, Tiger Global Management,GrubMarket
562,Sequoia Capital,Okta
562, Andreessen Horowitz,Okta
562, Greylock,Okta
562, Khosla Ventures,Okta
562, Floodgate,Okta
563,Google,Niantic
563, Spark Capital,Niantic
563, Coatue,Niantic
563, Founders Fund,Niantic
563, Nintendo,Niantic
564,Animoca Brands,Nothing
564, Crowdcube,Nothing
564, GV,Nothing
564, Kevin Lin,Nothing
564, EQT Ventures,Nothing
565,Gaingels,Republic
565, Tribe Capital,Republic
565, Binance,Republic
565, Ceras Ventures,Republic
565, Valor Equity Partners,Republic
566,Insight Partners,Kaseya
566, TPG,Kaseya
566, Ireland Strategic Investment Fund,Kaseya
566, Whitman Capital,Kaseya
566, Kanwal Rekhi,Kaseya
567,LetsVenture,PhableCare
567, Kalaari Capital,PhableCare
567, Inflection Point Ventures,PhableCare
567, Google for Startups,PhableCare
567, 91springboard,PhableCare
569,JP Morgan,Grafana Labs
569, Sequoia Capital,Grafana Labs
569, Coatue,Grafana Labs
569, Lightspeed Venture Partners,Grafana Labs
569, GIC,Grafana Labs
570,SoftBank,Ola Electric
570, Tiger Global Management,Ola Electric
570, Temasek Holdings,Ola Electric
570, Alpha Wave Global,Ola Electric
570, Matrix Partners India,Ola Electric
571,Tencent,PhonePe
571, Flipkart,PhonePe
571, Tiger Global Management,PhonePe
571, Walmart,PhonePe
572,Microsoft,Laiye
572, Lightspeed Venture Partners,Laiye
572, Sequoia Capital China,Laiye
572, Cathay Innovation,Laiye
572, Lightspeed China Partners,Laiye
573,Xerox,LinkSquares
573, Jump Capital,LinkSquares
573, G Squared,LinkSquares
573, Hyperplane Venture Capital,LinkSquares
573, Touchdown Ventures,LinkSquares
574,Spark Capital,Handshake
574, Reach Capital,Handshake
574, Coatue,Handshake
574, Lightspeed Venture Partners,Handshake
574, EQT Ventures,Handshake
575,Gemini,LayerZero Labs
575, Polygon,LayerZero Labs
575, Sequoia Capital,LayerZero Labs
575, Andreessen Horowitz,LayerZero Labs
575, Dapper Labs,LayerZero Labs
576,GV,Puppet
576, BlackRock,Puppet
576, Cisco,Puppet
576, Kleiner Perkins,Puppet
576, Silicon Valley Bank,Puppet
577,Microsoft,OpenAI
577, Y Combinator,OpenAI
577, Khosla Ventures,OpenAI
578,500 Startups,Pipefy
578, FundersClub,Pipefy
578, Insight Partners,Pipefy
578, Asymmetry Ventures,Pipefy
578, Founders Fund,Pipefy
579,Banco Bilbao Vizcaya Argentaria,Porsche
580,Quona Capital,IndiaMART
580, Elevation Capital,IndiaMART
580, WestBridge Capital,IndiaMART
580, Intel Capital,IndiaMART
580, Amadeus Capital Partners,IndiaMART
581,Cherry Ventures,Mondu
581, Discovery Ventures,Mondu
581, FinTech Collective,Mondu
582,Tencent,NIO
582, Lenovo,NIO
582, IDG Capital,NIO
582, Hillhouse Capital Group,NIO
582, Baillie Gifford,NIO
583,Tencent,Qonto
583, Gaingels,Qonto
583, Eurazeo,Qonto
583, Insight Partners,Qonto
583, Tiger Global Management,Qonto
584,Institutional Venture Partners,Netflix
584, TCV,Netflix
584, Foundation Capital,Netflix
584, Groupe Arnault,Netflix
584, Comdisco Ventures,Netflix
586,Andreessen Horowitz,Helium
586, Liberty Global,Helium
586, Union Square Ventures,Helium
586, Tiger Global Management,Helium
586, GV,Helium
587,500 Startups,MURAL
587, Insight Partners,MURAL
587, Tiger Global Management,MURAL
587, Gradient Ventures,MURAL
587, Slack Fund,MURAL
588,People's Bank of China,ICICI Bank
588, Prathmesh Madival,ICICI Bank
589,Amber Group,NEAR Protocol
589, Hashed,NEAR Protocol
589, Tiger Global Management,NEAR Protocol
589, ParaFi Capital,NEAR Protocol
589, Coinbase Ventures,NEAR Protocol
590,Morgan Stanley,Hourwork
590, OneValley,Hourwork
590, MassVentures,Hourwork
590, MassMutual,Hourwork
590, York IE,Hourwork
591,SoftBank Vision Fund,Pax8
591, Avenir Growth Capital,Pax8
591, Blue Cloud Ventures,Pax8
591, Catalyst Investors,Pax8
591, Sageview Capital,Pax8
592,Quona Capital,JULO
592, East Ventures,JULO
592, Gobi Partners,JULO
592, Skystar Capital,JULO
592, Credit Saison,JULO
593,Andreessen Horowitz,Improbable
593, SoftBank Vision Fund,Improbable
593, Temasek Holdings,Improbable
593, Horizons Ventures,Improbable
593, NetEase,Improbable
594,IDG Capital,Razer
594, Accel,Razer
594, Horizons Ventures,Razer
594, Intel Capital,Razer
594, Lianluo,Razer
595,RRE Ventures,Maude
595, WME,Maude
595, Outbound Ventures,Maude
595, True.,Maude
595, CASSIUS Family,Maude
596,SoftBank,OYO
596, Microsoft,OYO
596, Airbnb,OYO
596, Grab,OYO
596, SoftBank Vision Fund,OYO
597,Tencent,Omnipresent
597, Entrepreneur First,Omnipresent
597, Episode 1,Omnipresent
597, TrueSight Ventures,Omnipresent
597, Playfair Capital,Omnipresent
598,Redpoint,Knock
598, RRE Ventures,Knock
598, Foundry Group,Knock
598, FJ Labs,Knock
598, Corazon Capital,Knock
599,8VC,Mojo Vision
599, PTC,Mojo Vision
599, Khosla Ventures,Mojo Vision
599, Gradient Ventures,Mojo Vision
599, New Enterprise Associates,Mojo Vision
600,SoftBank,PlayVS
600, Coatue,PlayVS
600, Science,PlayVS
600, Kevin Lin,PlayVS
600, New Enterprise Associates,PlayVS
601,Lux Capital,Hugging Face
601, Betaworks,Hugging Face
601, Addition,Hugging Face
601, Clement Benoit,Hugging Face
601, SV Angel,Hugging Face
602,Ripple,Nium
602, MDI Ventures,Nium
602, GSR Ventures,Nium
602, Vertex Ventures,Nium
602, Rocket Internet,Nium
603,Tiger Global Management,SaltPay
603, Vetamer,SaltPay
603, Untitled Investments,SaltPay
603, Base Partners,SaltPay
604,Lerer Hippeau,Kaiyo
604, Edison Partners,Kaiyo
604, Correlation Ventures,Kaiyo
604, Moderne Ventures,Kaiyo
604, Max Ventures,Kaiyo
605,Netflix,Roku
605, Fidelity,Roku
605, News Corp,Roku
605, Menlo Ventures,Roku
605, Good Technology,Roku
606,Village Capital,Khazna
606, Lendable,Khazna
606, Quona Capital,Khazna
606, Khwarizmi Ventures,Khazna
606, Speedinvest,Khazna
607,Insight Partners,Postman
607, Coatue,Postman
607, Nexus Venture Partners,Postman
607, Bond,Postman
607, Battery Ventures,Postman
608,Tencent,Jeeves
608, Alumni Ventures,Jeeves
608, Andreessen Horowitz,Jeeves
608, Gaingels,Jeeves
608, BlockFi,Jeeves
609,Sequoia Capital,Robinhood
609, Andreessen Horowitz,Robinhood
609, GV,Robinhood
609, LAUNCH,Robinhood
609, Slow Ventures,Robinhood
610,Okta,Pipe
610, Republic,Pipe
610, Shopify,Pipe
610, HubSpot,Pipe
610, Tribe Capital,Pipe
611,Sequoia Capital,Lilt
611, Redpoint,Lilt
611, In-Q-Tel,Lilt
611, Intel Capital,Lilt
611, Sorenson Capital,Lilt
612,Techstars,Pixxel
612, Lightspeed Venture Partners,Pixxel
612, Radical Ventures,Pixxel
612, Creative Destruction Lab (CDL),Pixxel
612, Seraphim Capital,Pixxel
613,Cowen Digital,PolySign
613, GSR Ventures,PolySign
613, Cowen Group,PolySign
613, Brevan Howard Asset Management,PolySign
613, Soros Fund Management,PolySign
614,Eight Roads Ventures,Moneybox
614, Breega,Moneybox
614, Hambro Perks Ltd.,Moneybox
614, Samos Investments,Moneybox
614, Fidelity International Strategic Ventures,Moneybox
615,European Investment Bank,Nokia
615, Nordic Investment Bank,Nokia
617,Tencent,Riot Games
617, HAX,Riot Games
617, FirstMark,Riot Games
617, Benchmark,Riot Games
618,Dharana Capital,ITILITE
618, Tiger Global Management,ITILITE
618, Matrix Partners,ITILITE
618, Matrix Partners India,ITILITE
618, Ashish Gupta,ITILITE
619,Silver Lake,Motorola Solutions
620,Norwest Venture Partners,Policygenius
620, Global Atlantic,Policygenius
620, AXA Venture Partners,Policygenius
620, MassMutual,Policygenius
620, Kohlberg Kravis Roberts,Policygenius
621,Qiming Venture Partners,LetsGetChecked
621, Casdin Capital,LetsGetChecked
621, Optum Ventures,LetsGetChecked
621, Synetro Group,LetsGetChecked
621, Deerfield,LetsGetChecked
622,SoftBank,Roche
622, Novartis,Roche
622, SCALE AI,Roche
623,SoftBank,OfBusiness
623, Norwest Venture Partners,OfBusiness
623, Tiger Global Management,OfBusiness
623, SoftBank Vision Fund,OfBusiness
623, Alpha Wave Global,OfBusiness
624,Temasek Holdings,Licious
624, Vertex Ventures,Licious
624, 3one4 Capital,Licious
624, Mayfield Fund,Licious
624, IIFL Finance,Licious
625,REA Group,PropertyGuru Group
625, Baillie Gifford,PropertyGuru Group
625, TPG,PropertyGuru Group
625, Emtek Group,PropertyGuru Group
625, Kohlberg Kravis Roberts,PropertyGuru Group
626,Five Arrows Growth Capita,Kpler
626, Insight Partners,Kpler
627,Tencent,Roblox
627, Andreessen Horowitz,Roblox
627, Warner Music Group,Roblox
627, Greylock,Roblox
627, Tiger Global Management,Roblox
628,Norwest Venture Partners,Oxyzo
628, Tiger Global Management,Oxyzo
628, Matrix Partners,Oxyzo
628, Alpha Wave Global,Oxyzo
628, Creation Investments Capital Management,Oxyzo
628, LLC,Oxyzo
629,Sequoia Capital,Island
629, Insight Partners,Island
629, Stripes,Island
629, Cyberstarts,Island
630,General Catalyst,Nord Security
630, Ilkka Paananen,Nord Security
630, Novator,Nord Security
630, Matt Mullenweg,Nord Security
630, Miki Kuusi,Nord Security
631,Y Combinator,HackerRank
631, Khosla Ventures,HackerRank
631, SV Angel,HackerRank
631, Battery Ventures,HackerRank
631, Susquehanna Growth Equity,HackerRank
632,Insight Partners,Moonfare
632, Vitruvian Partners,Moonfare
632, Fidelity International Strategic Ventures,Moonfare
633,Andreessen Horowitz,Hadrian
633, Lux Capital,Hadrian
633, mymobiles price,Hadrian
633, Atlas Benjelloun,Hadrian
633, Caffeinated Capital,Hadrian
634,DoorDash,Roofstock
634, SoftBank Vision Fund,Roofstock
634, QED Investors,Roofstock
634, Bain Capital,Roofstock
634, Lightspeed Venture Partners,Roofstock
635,Insight Partners,Rattle
635, GV,Rattle
635, Sequoia Capital India,Rattle
635, iSeed,Rattle
635, Lightspeed India Partners,Rattle
636,Garage Capital,OpenPhone
636, Tiger Global Management,OpenPhone
636, Y Combinator,OpenPhone
636, Slow Ventures,OpenPhone
636, Craft Ventures,OpenPhone
637,Sequoia Capital,HubSpot
637, General Catalyst,HubSpot
637, GV,HubSpot
637, Matrix Partners,HubSpot
637, Scale Venture Partners,HubSpot
638,Janus Henderson Investors,IntelyCare
638, Longitude Capital,IntelyCare
638, LRVHealth,IntelyCare
638, Kaiser Permanente Ventures,IntelyCare
638, Endeavour Vision,IntelyCare
639,Tencent,Lunar
639, IDC Ventures,Lunar
639, Greyhound Capital,Lunar
639, Seed Capital,Lunar
639, David Helgason,Lunar
640,LeapFrog Investments,Northern Arc
640, Standard Chartered Bank,Northern Arc
640, Kotak Mahindra Bank,Northern Arc
640, Eight Roads Ventures,Northern Arc
640, Affirma Capital,Northern Arc
