Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
Data.world,"Austin, Texas, United States",Active,For Profit,,,,,6.0,36.0,"Data and Analytics, Information Technology, Internet Services, Other, Software","Analytics, Cloud Data Services, Collaboration, Database, SaaS",7.0,Late Stage Venture,2022-04-05,50000000.0,USD,50000000.0,Series C,Series C,50000000.0,USD,50000000.0,132300000.0,USD,132300000.0,4.0,75.431,"64,682.67",497.0,,,,"Alumni Ventures, OurCrowd, Goldman Sachs Asset Management, Shasta Ventures, Breyer Capital"
1K Kirana Bazaar,"Gurgaon, Haryana, India",Active,For Profit,,,,,2.0,9.0,"Commerce and Shopping, Other","Consumer, Retail",3.0,Early Stage Venture,2022-04-06,1950000000.0,INR,25676359.0,Series B,Series B,1950000000.0,INR,25676359.0,32668921.0,USD,32668921.0,,2.837,,0.0,,,,"Alpha Wave Global, Kae Capital, Info Edge ventures, Rajesh Yabaji, Beacon Trusteeship"
Box,"Redwood City, California, United States",Active,For Profit,1.0,,,1.0,7.0,25.0,"Hardware, Internet Services, Software","Cloud Computing, Enterprise Software, File Sharing, Flash Storage, Web Hosting",13.0,IPO,2021-04-08,500000000.0,USD,500000000.0,Post-IPO Equity,Post-IPO Equity,500000000.0,USD,500000000.0,1058950000.0,USD,1058950000.0,66.0,"34,292,524","36,380,503.67",854.0,111037756.0,USD,111037756.0,"Andreessen Horowitz, Telstra, Telefonica, TPG, Coatue"
GoDaddy,"Scottsdale, Arizona, United States",Active,For Profit,2.0,1.0,,,1.0,4.0,"Information Technology, Internet Services, Privacy and Security, Software","Cyber Security, Domain Registrar, Online Portals, Web Development, Web Hosting",3.0,IPO,2021-12-27,800000000.0,USD,800000000.0,Post-IPO Equity,Post-IPO Equity,800000000.0,USD,800000000.0,800000000.0,USD,800000000.0,50.0,"58,712,373","63,269,353.17",739.0,255909650.0,USD,255909650.0,"Silver Lake, Kohlberg Kravis Roberts, TCV, Starboard Value"
DraftKings,"Boston, Massachusetts, United States",Active,For Profit,4.0,1.0,,1.0,9.0,29.0,"Gaming, Sports","Fantasy Sports, Gaming, Online Games, Sports",12.0,IPO,2020-09-02,,,,Post-IPO Equity,Post-IPO Equity,,,,719438000.0,USD,719438000.0,3.0,"16,846,594","25,369,150",1.372,,,,"Redpoint, FirstMark, Flybridge, Major League Soccer, GGV Capital"
Argo AI,"Pittsburgh, Pennsylvania, United States",Active,For Profit,,,,,3.0,3.0,"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software, Transportation","Artificial Intelligence, Autonomous Vehicles, Robotics, Transportation",3.0,,2021-07-21,,,,Corporate Round,Corporate Round,,,,3600000000.0,USD,3600000000.0,5.0,74.578,53.592,361.0,2052566.0,USD,2052566.0,"Lyft, Ford Motor, Volkswagen Group"
Accenture,"Dublin, Dublin, Ireland",Active,For Profit,45.0,16.0,6.0,22.0,1.0,1.0,"Information Technology, Professional Services, Real Estate","Construction, Consulting, Information Technology, Outsourcing",1.0,IPO,2018-10-01,6000000.0,USD,6000000.0,Grant,,,,,6000000.0,USD,6000000.0,363.0,,,,,,,Youth Business International
DigitalOcean,"New York, New York, United States",Active,For Profit,,,,,8.0,30.0,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, SaaS, Virtualization, Web Hosting",21.0,IPO,2021-09-13,34913641.0,USD,34913641.0,Post-IPO Equity,Post-IPO Equity,34913641.0,USD,34913641.0,491275418.0,USD,491275418.0,57.0,"17,035,411","14,832,070.5",676.0,18036123.0,USD,18036123.0,"Techstars, Trinity Capital, Andreessen Horowitz, Right Side Capital Management, Raison Asset Management"
Celona,"Cupertino, California, United States",Active,For Profit,,,,,6.0,6.0,"Hardware, Internet Services, Mobile","Internet, Mobile, Wireless",3.0,Late Stage Venture,2022-03-28,60000000.0,USD,60000000.0,Series C,Series C,60000000.0,USD,60000000.0,100000000.0,USD,100000000.0,1.0,28.323,"55,464.67",498.0,,,,"Norwest Venture Partners, Qualcomm Ventures, Lightspeed Venture Partners, Cervin, NTT Venture Capital"
BuzzFeed,"New York, New York, United States",Active,For Profit,,,,,6.0,20.0,"Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing","Advertising, Digital Entertainment, Journalism, Publishing, Social News",10.0,IPO,2021-12-03,150000000.0,USD,150000000.0,Post-IPO Debt,Series G,200000000.0,USD,200000000.0,696300000.0,USD,696300000.0,14.0,"143,562,559","112,747,679.5",729.0,3539536.0,USD,3539536.0,"Andreessen Horowitz, RRE Ventures, Founder Collective, Lerer Hippeau, General Atlantic"
CircleCI,"San Francisco, California, United States",Active,For Profit,,,,,8.0,23.0,"Information Technology, Internet Services, Software","Cloud Computing, Developer Tools, Information Technology, PaaS, Productivity Tools, SaaS, Software",11.0,,2021-10-01,,,,Venture - Series Unknown,Venture - Series Unknown,,,,315000000.0,USD,315000000.0,30.0,"2,264,491","2,326,643.17",883.0,,,,"500 Startups, DCVC, Scale Venture Partners, Threshold, Institutional Venture Partners"
Ethereum Foundation,"Bern, Bern, Switzerland",Active,Non-profit,10.0,8.0,2.0,,1.0,14.0,"Apps, Data and Analytics, Financial Services, Internet Services, Other, Payments, Software","Application Performance Management, Blockchain, Consumer Applications, Cryptocurrency, Developer APIs, Ethereum, Internet, Open Source, Transaction Processing, Virtual Currency",9.0,M&A,2017-05-01,,,,Secondary Market,Venture - Series Unknown,,,,18400000.0,USD,18400000.0,3.0,"4,557,247","5,164,043.67",759.0,,,,"Winklevoss Capital, David J. Namdar, Placeholder, KR1, Karnika Yashwant"
FTX US,"San Francisco, California, United States",Active,For Profit,1.0,1.0,,,4.0,12.0,"Financial Services, Lending and Investments, Payments, Software","Bitcoin, Cryptocurrency, Trading Platform",1.0,Early Stage Venture,2022-01-26,400000000.0,USD,400000000.0,Series A,Series A,400000000.0,USD,400000000.0,400000000.0,USD,400000000.0,1.0,"12,091,830","8,838,444.17",458.0,,,,"Tribe Capital, Temasek Holdings, Paradigm, Lightspeed Venture Partners, Bond"
Beqom,"Fribourg, Fribourg, Switzerland",Active,For Profit,,,,,4.0,11.0,"Administrative Services, Software","Enterprise Software, Human Resources, SaaS, Software",8.0,Private Equity,2022-04-12,277000000.0,EUR,299883510.0,Private Equity,Private Equity,277000000.0,EUR,299883510.0,359483511.0,USD,359483511.0,4.0,218.609,"220,100.67",116.0,,,,"Goldman Sachs, Eurazeo, Swisscom Ventures, Sumeru Equity Partners, Golub Capital"
Euler Motors,"New Delhi, Delhi, India",Active,For Profit,,,,,4.0,11.0,Transportation,"Automotive, Autonomous Vehicles, Electric Vehicle, Logistics",6.0,Early Stage Venture,2022-04-17,5000000.0,USD,5000000.0,Series B,Series B,5000000.0,USD,5000000.0,33093666.0,USD,33093666.0,,5.25,2.927,57.0,,,,"Moglix, ADB Ventures, Sujeet Kumar, Blume Ventures, Emergent Ventures"
BlockTower Capital,"New York, New York, United States",Active,,27.0,5.0,1.0,,2.0,3.0,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Finance, Virtual Currency",1.0,,2018-01-04,140000000.0,USD,140000000.0,Venture - Series Unknown,Venture - Series Unknown,140000000.0,USD,140000000.0,140000000.0,USD,140000000.0,1.0,5.434,"7,936.83",5.0,,,,"Andreessen Horowitz, Union Square Ventures, Blue Collective"
Funding Circle,"London, England, United Kingdom",Active,For Profit,5.0,2.0,,,8.0,20.0,Financial Services,"Finance, Financial Services, FinTech, Lending",10.0,IPO,2019-12-02,250000000.0,GBP,323495197.0,Post-IPO Debt,Series F,100000000.0,USD,100000000.0,746417715.0,USD,746417715.0,2.0,754.768,"500,664.83",505.0,4904742.0,USD,4904742.0,"Union Square Ventures, BlackRock, Rocket Internet, Accel, Baillie Gifford"
Dapper Labs,"Vancouver, British Columbia, Canada",Active,For Profit,42.0,6.0,2.0,,6.0,97.0,"Gaming, Other, Software","Blockchain, Gaming, Software",9.0,Late Stage Venture,2021-09-21,250000000.0,USD,250000000.0,Series D,Series D,250000000.0,USD,250000000.0,607450000.0,USD,607450000.0,,134.141,176.165,218.0,,,,"Snow K., Animoca Brands, Digital Currency Group, Andreessen Horowitz, BlockTower Capital"
FinAccel,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,2.0,,,1.0,6.0,21.0,"Financial Services, Lending and Investments","Consumer Lending, Finance, Financial Services",5.0,Late Stage Venture,2019-12-02,90000000.0,USD,90000000.0,Series C,Series C,90000000.0,USD,90000000.0,120000000.0,USD,120000000.0,1.0,1.308,"3,767.83",0.0,,,,"500 Startups, Mirae Asset Global Investments, MDI Ventures, Jungle Ventures, Cathay Innovation"
Credpal,"Lagos, Lagos, Nigeria",Active,For Profit,,,,,5.0,16.0,"Commerce and Shopping, Financial Services, Payments","E-Commerce, Financial Services, FinTech, Payments",11.0,,2022-03-30,15000000.0,USD,15000000.0,Convertible Note,Venture - Series Unknown,1500000.0,USD,1500000.0,16728944.0,USD,16728944.0,,16.824,"5,537.17",22.0,,,,"Y Combinator, Startupbootcamp, GreenHouse Capital, VC4A, Uncovered Fund"
Diligent Robotics,"Austin, Texas, United States",Active,For Profit,,,,,6.0,17.0,"Artificial Intelligence, Data and Analytics, Design, Hardware, Health Care, Science and Engineering, Software","Artificial Intelligence, Health Care, Human Computer Interaction, Machine Learning, Robotics, Software",6.0,Early Stage Venture,2022-04-11,30000000.0,USD,30000000.0,Series B,Series B,30000000.0,USD,30000000.0,45875000.0,USD,45875000.0,,8.251,"6,319.33",215.0,,,,"Gaingels, Tiger Global Management, National Science Foundation, Next Coast Ventures, Capital Factory"
EvolutionIQ,"New York, New York, United States",Active,For Profit,,,,,2.0,11.0,"Artificial Intelligence, Data and Analytics, Financial Services, Payments, Privacy and Security, Professional Services, Science and Engineering, Software","Artificial Intelligence, Commercial Insurance, Fraud Detection, Insurance, Risk Management",4.0,Early Stage Venture,2022-04-12,21000000.0,USD,21000000.0,Series A,Series A,21000000.0,USD,21000000.0,25986000.0,USD,25986000.0,,7.917,,515.0,,,,"Sedgwick Claims Management Services, Asymmetry Ventures, FirstMark, Plug and Play Tech Center, First Round Capital"
Fasset,"London, England, United Kingdom",Active,For Profit,,,,,2.0,5.0,"Financial Services, Other, Payments, Software","Asset Management, Blockchain, Cryptocurrency, Financial Services, FinTech",3.0,Early Stage Venture,2022-04-15,22000000.0,USD,22000000.0,Series A,Series A,22000000.0,USD,22000000.0,26700000.0,USD,26700000.0,,107.573,"25,498.5",1.016,,,,"Ceras Ventures, Soma Capital, Fatima Gobi Ventures, MyAsia VC, Liberty City Ventures"
CICC,"Beijing, Beijing, China",Active,For Profit,138.0,55.0,4.0,33.0,1.0,2.0,"Financial Services, Lending and Investments","Banking, Finance, Financial Services, Venture Capital",2.0,IPO,2017-09-20,367000000.0,USD,367000000.0,Post-IPO Equity,Post-IPO Equity,367000000.0,USD,367000000.0,367000000.0,USD,367000000.0,,,,,,,,"Tencent, TPG"
Fyllo,"Chicago, Illinois, United States",Active,For Profit,,,,,4.0,16.0,"Community and Lifestyle, Food and Beverage, Health Care, Information Technology, Internet Services, Professional Services, Software","Cannabis, Cloud Computing, Cloud Data Services, Compliance, Enterprise Software",5.0,Late Stage Venture,2021-11-08,40000000.0,USD,40000000.0,Series C,Series C,40000000.0,USD,40000000.0,98000000.0,USD,98000000.0,,99.416,"27,494.17",802.0,,,,"K2, Sol Global investments, ArrowMark Partners, Eminence Capital LP, Phyto Partners"
Global Data Consortium,"Raleigh, North Carolina, United States",Active,For Profit,,,,,1.0,4.0,"Data and Analytics, Information Technology, Internet Services, Mobile, Platforms, Software","Analytics, Information Services, Information Technology, Internet, iOS, Software",4.0,M&A,2021-03-24,,,,Venture - Series Unknown,Venture - Series Unknown,,,,3600000.0,USD,3600000.0,3.0,577,,0.0,,,,"Village Capital, Refinitiv, VilCap Investments, FinRise"
Ather Energy,"Bangalore, Karnataka, India",Active,For Profit,,,,,3.0,6.0,"Manufacturing, Transportation","Automotive, Electric Vehicle, Manufacturing",6.0,Late Stage Venture,2022-01-14,4200000000.0,INR,56637168.0,Series D,Series D,4200000000.0,INR,56637168.0,158847168.0,USD,158847168.0,,"1,588,224","1,334,764.83",164.0,,,,"Tiger Global Management, HeroMotoCorp Ltd, InnoVen Capital, Binny Bansal, Sachin Bansal"
Ethos,"San Francisco, California, United States",Active,For Profit,,,,,5.0,19.0,Financial Services,"Finance, Financial Services, FinTech, Insurance, InsurTech, Life Insurance",7.0,Late Stage Venture,2021-07-21,100000000.0,USD,100000000.0,Series D,Series D,100000000.0,USD,100000000.0,406500000.0,USD,406500000.0,1.0,468.215,152.443,186.0,,,,"Sequoia Capital, General Catalyst, Goldman Sachs, GV, Accel"
Afterpay,"Melbourne, Victoria, Australia",Active,For Profit,2.0,1.0,,,3.0,3.0,"Commerce and Shopping, Financial Services, Hardware, Payments, Software","E-Commerce, FinTech, Payments, Retail Technology",3.0,M&A,2020-08-20,,,,Post-IPO Equity,Post-IPO Equity,,,,448704346.0,USD,448704346.0,1.0,"80,133,051","26,733,830",555.0,,,,"Tencent, Coatue, Mitsubishi UFJ Financial Group"
Bitpanda,"Vienna, Wien, Austria",Active,For Profit,1.0,,,,4.0,8.0,"Financial Services, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, FinTech",6.0,Late Stage Venture,2021-08-17,263000000.0,USD,263000000.0,Series C,Series C,263000000.0,USD,263000000.0,546013472.0,USD,546013472.0,2.0,"3,941,082","3,532,379",634.0,,,,"Wintermute Trading, Jump Capital, Valar Ventures, Speedinvest, DST Global"
Goldbelly,"New York, New York, United States",Active,For Profit,,,,,4.0,18.0,"Commerce and Shopping, Food and Beverage, Transportation","Delivery Service, E-Commerce, Food and Beverage, Last Mile Transportation",7.0,Late Stage Venture,2021-05-18,100000000.0,USD,100000000.0,Series C,Series C,100000000.0,USD,100000000.0,133120000.0,USD,133120000.0,4.0,"3,450,572","7,848,431.5",351.0,61001.0,USD,61001.0,"500 Startups, FundersClub, Y Combinator, Draper Associates, Global Founders Capital"
BluSmart Mobility,"Ahmedabad, Gujarat, India",Active,For Profit,,,,,4.0,24.0,"Apps, Mobile, Software, Transportation","Electric Vehicle, Mobile Apps, Ride Sharing, Transportation",7.0,Early Stage Venture,2022-03-24,,,,Debt Financing,Series A,1850000000.0,INR,24914264.0,41977204.0,USD,41977204.0,,26.422,"10,264.5",34.0,,,,"LetsVenture, BlackSoil, Venture Catalysts, Inflection Point Ventures, 9Unicorns Accelerator Fund"
Click Therapeutics,"New York, New York, United States",Active,For Profit,,,,,6.0,15.0,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Medical Device, Pharmaceutical, Therapeutics",11.0,Early Stage Venture,2022-04-15,15000000.0,USD,15000000.0,Debt Financing,Series B,52000000.0,USD,52000000.0,926382500.0,USD,926382500.0,,7.65,"6,669.83",0.0,,,,"Silicon Valley Bank, Hikma Ventures, Boehringer Ingelheim, Health Catalyst Capital, Sanofi Ventures"
Cohesity,"San Jose, California, United States",Active,For Profit,,,,,9.0,26.0,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Analytics, Cloud Computing, Data Center, Data Storage, Information Technology",6.0,Late Stage Venture,2020-04-09,250000000.0,USD,250000000.0,Series E,Series E,250000000.0,USD,250000000.0,660000000.0,USD,660000000.0,45.0,500.799,"310,839.67",1.5,17063309.0,USD,17063309.0,"Sequoia Capital, GV, SoftBank Vision Fund, Accel, Baillie Gifford"
Cuyana,"San Francisco, California, United States",Active,For Profit,,,,,1.0,4.0,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design","E-Commerce, Fashion, Women's",4.0,Late Stage Venture,2019-02-05,30000000.0,USD,30000000.0,Series C,Series C,30000000.0,USD,30000000.0,31700000.0,USD,31700000.0,,427.833,"289,082.5",776.0,,,,"H.I.G. Capital, Greycroft, Canaan Partners, InterWest Partners"
Aave,"London, England, United Kingdom",Active,For Profit,,,,,5.0,8.0,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Ethereum, Financial Services, FinTech, Lending, Open Source, Peer to Peer",6.0,,2021-01-30,,,,Secondary Market,Venture - Series Unknown,25000000.0,USD,25000000.0,49000000.0,USD,49000000.0,13.0,"1,633,250","2,176,180.33",400.0,,,,"Blockchain Capital, ParaFi Capital, Framework Ventures, Three Arrows Capital, Standard Crypto"
Decentraland,"Beijing, Beijing, China",Active,For Profit,,,,,,9.0,"Consumer Electronics, Hardware, Other, Software","3D Technology, Blockchain, Computer, Software, Virtual Reality",4.0,,2021-11-18,,,,Secondary Market,Venture - Series Unknown,,,,25500000.0,USD,25500000.0,1.0,"2,024,114","2,676,275",981.0,,,,"Broslyn Capital, Animoca Brands, Digital Currency Group, Fabric Ventures, Fundamental Labs"
Coupa Software,"San Mateo, California, United States",Active,For Profit,,,,,7.0,15.0,"Financial Services, Hardware, Internet Services, Software, Transportation","Cloud Infrastructure, FinTech, Procurement, Software",9.0,IPO,2021-06-03,50000000.0,USD,50000000.0,Post-IPO Equity,Post-IPO Equity,50000000.0,USD,50000000.0,219000000.0,USD,219000000.0,5.0,385.556,"513,554.17",814.0,78029533.0,USD,78029533.0,"T. Rowe Price, Crosslink Capital, BlueRun Ventures, Battery Ventures, Rally Ventures"
Azimo,"London, England, United Kingdom",Active,For Profit,,,,,6.0,20.0,"Financial Services, Mobile, Payments, Software","Financial Services, FinTech, Mobile Payments, Personal Finance",7.0,M&A,2020-02-04,20000000.0,EUR,22089903.0,Debt Financing,Series C,20000000.0,USD,20000000.0,88089904.0,USD,88089904.0,,563.134,"528,826.83",398.0,12771362.0,USD,12771362.0,"Rakuten, Headline, Quona Capital, Anthemis Group, Silicon Valley Bank"
Capital on Tap,"London, England, United Kingdom",Active,For Profit,,,,,1.0,8.0,"Financial Services, Lending and Investments","Financial Services, FinTech, Venture Capital",4.0,Private Equity,2022-04-12,200000000.0,USD,200000000.0,Private Equity,Private Equity,200000000.0,USD,200000000.0,1092162194.0,USD,1092162194.0,,397.542,261.714,320.0,12897166.0,USD,12897166.0,"HSBC, TriplePoint Venture Growth, BNP Paribas, Citibank, Pollen Street Capital"
Envestnet,"Chicago Heights, Illinois, United States",Active,For Profit,4.0,3.0,1.0,,2.0,7.0,"Financial Services, Real Estate","Architecture, Financial Services, FinTech, Wealth Management",8.0,IPO,2020-08-17,517500000.0,USD,517500000.0,Post-IPO Equity,Post-IPO Equity,517500000.0,USD,517500000.0,557500000.0,USD,557500000.0,5.0,957.59,"378,046.67",638.0,101244525.0,USD,101244525.0,"BlackRock, TCV, Upfront Ventures, Foundation Capital, Keystone Capital"
Exo,"Redwood City, California, United States",Active,For Profit,,,,,6.0,23.0,Health Care,"Health Care, Medical, Medical Device",6.0,Late Stage Venture,2021-07-29,220000000.0,USD,220000000.0,Series C,Series C,220000000.0,USD,220000000.0,307595314.0,USD,307595314.0,,,,,,,,"BlackRock, RA Capital Management, Sony Innovation Fund, Intel Capital, TDK Ventures"
Deserve,"Palo Alto, California, United States",Active,For Profit,,,,,12.0,21.0,"Data and Analytics, Financial Services, Internet Services, Lending and Investments, Mobile, Payments, Software","Big Data, Credit Cards, FinTech, Internet, Mobile Payments",10.0,,2021-10-27,,,,Corporate Round,Corporate Round,,,,294200000.0,USD,294200000.0,2.0,352.43,"192,507.67",233.0,,,,"Alumni Ventures, Goldman Sachs, Mastercard, Accel, Credit Suisse"
EnKash,"Mumbai, Maharashtra, India",Active,For Profit,,,,,3.0,5.0,"Financial Services, Lending and Investments, Other, Payments","B2B, Credit Cards, Financial Services, FinTech, Payments",2.0,Early Stage Venture,2022-04-04,20000000.0,USD,20000000.0,Series B,Series B,20000000.0,USD,20000000.0,23000000.0,USD,23000000.0,,18.087,13.367,226.0,,,,"Mayfield Fund, Axilor Ventures, Ascent Capital, Baring Private Equity India, White Venture Capital"
Avail Finance,"Bangalore, Karnataka, India",Active,For Profit,,,,,4.0,8.0,"Financial Services, Mobile, Payments, Software","Finance, FinTech, Mobile Payments",5.0,M&A,2021-05-03,240000000.0,INR,3250374.0,Debt Financing,Series B,870000000.0,INR,11792653.0,41443027.0,USD,41443027.0,,1.288,"19,128.67",995.0,,,,"Alpha Wave Global, Kunal Shah, Matrix Partners India, Alteria Capital, Binny Bansal"
Forto,"Berlin, Berlin, Germany",Active,For Profit,,,,,7.0,17.0,"Software, Transportation","Freight Service, Logistics, Shipping, Software, Supply Chain Management",6.0,Late Stage Venture,2022-03-07,250000000.0,USD,250000000.0,Series D,Series D,250000000.0,USD,250000000.0,593383184.0,USD,593383184.0,,54.038,"73,431.33",1.2,,,,"SoftBank Vision Fund, Global Founders Capital, Northzone, Disruptive, Cherry Ventures"
BitMart,"Grand Cayman, Midland, Cayman Islands",Active,For Profit,4.0,,,,2.0,5.0,"Financial Services, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, Ethereum, Finance, FinTech",3.0,Early Stage Venture,2021-11-29,,,,Series B,Series B,,,,10000000.0,USD,10000000.0,3.0,"2,972,745","2,313,060.83",1.396,,,,"Fenbushi Capital, Kube VC, Alpha Square Group, Chaos Ventures, Alexander Capital Ventures"
Fundrise,"Washington, District of Columbia, United States",Active,For Profit,,,,,4.0,18.0,"Financial Services, Real Estate","Finance, Financial Services, FinTech, Real Estate, Real Estate Investment",8.0,,2021-06-03,300000000.0,USD,300000000.0,Debt Financing,Equity Crowdfunding,14500000.0,USD,14500000.0,355485000.0,USD,355485000.0,,"4,756,028","1,805,595.5",400.0,62100.0,USD,62100.0,"Goldman Sachs, Collaborative Fund, Terrence Rohan, Guggenheim Partners, Renren"
Amenitiz,"Barcelona, Catalonia, Spain",Active,For Profit,,,,,3.0,13.0,"Software, Travel and Tourism","Hospitality, SaaS",4.0,Early Stage Venture,2022-04-05,27000000.0,EUR,29446407.0,Series A,Series A,27000000.0,EUR,29446407.0,34320000.0,EUR,37824611.0,,41.806,"97,902.17",278.0,,,,"BACKED VC, Eight Roads Ventures, Point Nine, Otium Capital, Matt Robinson"
Fair,"Santa Monica, California, United States",Active,For Profit,,,,,9.0,37.0,"Financial Services, Internet Services, Manufacturing, Transportation","Automotive, Finance, Industrial, Industrial Manufacturing, Internet, Leasing",13.0,M&A,2019-09-17,500000000.0,USD,500000000.0,Debt Financing,Series B,385000000.0,USD,385000000.0,2101000000.0,USD,2101000000.0,,92.227,101.206,490.0,221608.0,USD,221608.0,"SoftBank, SoftBank Vision Fund, Valor Equity Partners, G Squared, Silicon Valley Bank"
Go1,"Brisbane, Queensland, Australia",Active,For Profit,3.0,1.0,,,7.0,28.0,"Education, Professional Services, Software","Business Development, Corporate Training, SaaS, Training",8.0,Late Stage Venture,2021-07-19,200000000.0,USD,200000000.0,Series D,Series D,200000000.0,USD,200000000.0,283708345.0,USD,283708345.0,2.0,158.601,"63,961.67",253.0,,,,"FundersClub, Y Combinator, Tiger Global Management, SoftBank Vision Fund, AirTree Ventures"
Aptos,"Palo Alto, California, United States",Active,For Profit,,,,,1.0,13.0,"Design, Financial Services, Other, Software","Blockchain, FinTech, Web Design, Web Development",1.0,Seed,2022-03-15,200000000.0,USD,200000000.0,Seed,Seed,200000000.0,USD,200000000.0,200000000.0,USD,200000000.0,,42.762,,195.0,,,,"Andreessen Horowitz, BlockTower Capital, Hashed, Tiger Global Management, Paxos"
Course Hero,"Redwood City, California, United States",Active,For Profit,,,,,4.0,33.0,"Education, Internet Services, Other, Software","Crowdsourcing, E-Learning, EdTech, Education, Internet, Subscription Service",9.0,Late Stage Venture,2021-12-14,380000000.0,USD,380000000.0,Series C,Series C,380000000.0,USD,380000000.0,477393000.0,USD,477393000.0,3.0,"57,373,103","49,834,872.5",763.0,502056.0,USD,502056.0,"IDG Capital, TPG, Interplay, Innovation Endeavors, Maveron"
Coronet,"Tel Aviv, Tel Aviv, Israel",Active,For Profit,,,,,3.0,4.0,"Information Technology, Internet Services, Privacy and Security","Cloud Data Services, Cyber Security, Information Technology, Network Security",3.0,Late Stage Venture,2022-04-05,60000000.0,USD,60000000.0,Series C,Series C,60000000.0,USD,60000000.0,80000000.0,USD,80000000.0,13.0,7.132,"8,904.5",627.0,,,,"Balderton Capital, Jerusalem Venture Partners (JVP), MizMaa Ventures, Sound Ventures"
Bizongo,"Mumbai, Maharashtra, India",Active,For Profit,,,,,10.0,20.0,"Administrative Services, Commerce and Shopping, Other","B2B, E-Commerce, Marketplace, Packaging Services",10.0,Late Stage Venture,2021-12-06,110000000.0,USD,110000000.0,Series D,Series D,110000000.0,USD,110000000.0,240314603.0,USD,240314603.0,,27.924,"33,303.17",638.0,,,,"IDG Capital, B Capital Group, Tiger Global Management, Accel, International Finance Corporation"
Eleanor Health,"Waltham, Massachusetts, United States",Active,For Profit,,,,,3.0,8.0,"Health Care, Mobile","Health Care, Health Diagnostics, Hospital, mHealth, Psychology",3.0,Late Stage Venture,2022-04-07,50000000.0,USD,50000000.0,Series C,Series C,50000000.0,USD,50000000.0,81999881.0,USD,81999881.0,,178.41,"48,273.5",385.0,,,,"Warburg Pincus, General Catalyst, Northpond Ventures, Echo Health Ventures, Rethink Impact"
Ampere Computing,"Santa Clara, California, United States",Active,For Profit,1.0,,,1.0,2.0,3.0,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, Cloud Data Services, Hardware",6.0,,2021-03-31,300000000.0,USD,300000000.0,Corporate Round,Corporate Round,300000000.0,USD,300000000.0,426000000.0,USD,426000000.0,4.0,70.368,"75,906.17",1.592,,,,"The Carlyle Group, Oracle, Arm Holdings"
Gogoro,"Taipei, T'ai-pei, Taiwan",Active,For Profit,,,,,3.0,9.0,"Energy, Sustainability, Transportation","Automotive, Electric Vehicle, Energy, Energy Efficiency, Transportation",4.0,Late Stage Venture,2017-09-20,300000000.0,USD,300000000.0,Series C,Series C,300000000.0,USD,300000000.0,480000000.0,USD,480000000.0,,"1,237,899","1,432,376.33",594.0,,,,"Temasek Holdings, Engie, HTC, Generation Investment Management, National Development Fund of Taiwan Government"
Birchbox,"New York, New York, United States",Active,For Profit,,,,,4.0,23.0,"Commerce and Shopping, Consumer Goods, Internet Services","Beauty, E-Commerce, E-Commerce Platforms, Internet",8.0,M&A,2020-04-20,10270831.0,USD,10270831.0,Series D,Series D,10270831.0,USD,10270831.0,97170831.0,USD,97170831.0,2.0,852.7,"579,529.17",451.0,3220643.0,USD,3220643.0,"Slow Ventures, Accel, Lerer Hippeau, Brand Foundry Ventures, Forerunner Ventures"
Chingari,"Bangalore, Karnataka, India",Active,For Profit,,,,,5.0,38.0,"Apps, Community and Lifestyle, Media and Entertainment, Mobile, Software, Video","Apps, Media and Entertainment, Mobile, Social, Video",10.0,Early Stage Venture,2022-01-17,1120000000.0,INR,15083025.0,Series A,Series A,1120000000.0,INR,15083025.0,88448327.0,USD,88448327.0,,"1,376,885","1,583,949.83",540.0,,,,"AngelList, Galaxy Digital, Kraken, White Star Capital, Protocol Labs"
